questionId;questionText;answerA;answerB;answerC;answerD;correctAnswer;category;difficulty;info
Q0001;Wann erschien der erster Superman Comic;1914;1938;1956;1972;B;TV Series;Easy;Superman war der erste Superheld in der Comicgeschichte.
Q0002;Wann gab es das erste tamagotchi;2005;1992;1996;2001;C;TV Series;Easy;
Q0003;Who created the Linux kernel?;Bill Gates;Linus Torvalds;Richard Stallman;Dennis Ritchie;B;Technology;Easy;
Q0004;Which port is used by HTTP by default?;21;25;80;443;C;Technology;Easy;
Q0005;What does SQL stand for?;Structured Query Language;Simple Query Logic;System Query Language;Standard Question Language;A;Technology;Easy;
Q0006;Which company created the Java programming language?;Microsoft;IBM;Sun Microsystems;Oracle;C;Technology;Easy;
Q0007;What does DNS stand for?;Domain Name System;Data Network Service;Digital Naming Service;Domain Navigation Standard;A;Technology;Easy;
Q0008;Which command is commonly used to list files in Linux?;pwd;ls;cd;mkdir;B;Technology;Easy;
Q0009;What year was the first iPhone released?;2005;2006;2007;2008;C;General Knowledge;Easy;
Q0010;Which protocol is primarily used to securely browse websites?;FTP;SMTP;HTTPS;TELNET;C;General Knowledge;Easy;
Q0011;What does RAM stand for?;Random Access Memory;Read Access Module;Rapid Application Memory;Remote Access Memory;A;Technology;Easy;
Q0012;Which database is a relational database?;MongoDB;Redis;PostgreSQL;Neo4j;C;Technology;Easy;
Q0013;Who played Neo in The Matrix?;Brad Pitt;Tom Cruise;Keanu Reeves;Johnny Depp;C;Movies;Easy;
Q0014;What is Tony Stark's superhero name?;Hulk;Iron Man;Thor;Hawkeye;B;TV Series;Easy;
Q0015;What is the chemical symbol for gold?;Ag;Au;Gd;Go;B;Science;Easy;
Q0016;What color was Luke Skywalker's first lightsaber?;Red;Green;Blue;Purple;C;Star Wars;Easy;
Q0017;What coffee shop is featured in Friends?;Monks Cafe;Central Perk;The Max;Peach Pit;B;TV Series;Easy;
Q0018;What was the name of KITT's driver in Knight Rider?;Michael Knight;David Hasselhoff;Devon Miles;Rick Hunter;A;TV Series;Easy;
Q0019;Which company created Pac-Man?;Nintendo;Sega;Namco;Atari;C;Gaming;Easy;
Q0020;Which console introduced Super Mario Bros.?;SNES;Nintendo 64;NES;GameCube;C;TV Series;Easy;
Q0021;In Jurassic Park what type of dinosaur is Rexy?;Velociraptor;Tyrannosaurus Rex;Triceratops;Dilophosaurus;B;Movies;Easy;
Q0022;Who directed Back to the Future?;Steven Spielberg;George Lucas;Robert Zemeckis;James Cameron;C;Movies;Easy;
Q0023;Which actor played Jack Sparrow?;Orlando Bloom;Johnny Depp;Russell Crowe;Matt Damon;B;Movies;Easy;
Q0024;What planet has the most moons currently known?;Saturn;Jupiter;Uranus;Neptune;A;Science;Easy;
Q0025;What is the nearest star to Earth besides the Sun?;Sirius;Alpha Centauri A;Proxima Centauri;Vega;C;Science;Easy;
Q0026;What is the name of Thor's hammer?;Stormbreaker;Gungnir;Mjolnir;Asgardian Axe;C;TV Series;Easy;
Q0027;Who was the Supreme Chancellor before becoming Emperor?;Bail Organa;Mace Windu;Palpatine;Mon Mothma;C;TV Series;Easy;
Q0028;What was Mulder's first name in The X-Files?;Fox;John;Dana;Walter;A;TV Series;Easy;
Q0029;What planet does ALF come from?;Vulcan;Melmac;Krypton;Tatooine;B;TV Series;Easy;
Q0030;What was the final level called in the original Doom?;Hell's Gate;Dis;Inferno;Phobos Anomaly;D;General Knowledge;Easy;
Q0031;Which company manufactured the Dreamcast?;Sony;Nintendo;Sega;Atari;C;Gaming;Easy;
Q0032;Who created the Python programming language?;James Gosling;Guido van Rossum;Dennis Ritchie;Bjarne Stroustrup;B;Technology;Easy;
Q0033;Which Linux package manager is commonly used on Debian?;yum;pacman;apt;zypper;C;Technology;Easy;
Q0034;Which SQL command is used to retrieve data?;UPDATE;INSERT;SELECT;CREATE;C;Technology;Easy;
Q0035;Which actor portrayed Maximus in Gladiator?;Russell Crowe;Gerard Butler;Brad Pitt;Joaquin Phoenix;A;Movies;Easy;
Q0036;What is the speed of light in vacuum approximately?;150000 km/s;300000 km/s;450000 km/s;600000 km/s;B;Science;Easy;
Q0037;Which file contains user account information on Linux?;/etc/group;/etc/passwd;/etc/shadow;/home/users;B;Technology;Easy;
Q0038;Which command shows the current working directory?;pwd;ls;whoami;cd;A;Technology;Easy;
Q0039;Which command is used to copy files?;cp;mv;cat;grep;A;Technology;Easy;
Q0040;Which directory typically contains system log files?;/usr;/var/log;/tmp;/opt;B;General Knowledge;Easy;
Q0041;Which signal is sent by default when using kill?;SIGTERM;SIGKILL;SIGHUP;SIGSTOP;A;General Knowledge;Medium;
Q0042;Which filesystem is commonly used by modern Linux distributions?;NTFS;FAT32;ext4;HFS+;C;Technology;Medium;
Q0043;Which command changes file permissions?;chmod;chown;passwd;umask;A;Technology;Easy;
Q0044;What does cron primarily do?;Manage users;Schedule tasks;Monitor memory;Handle networking;B;General Knowledge;Easy;
Q0045;Which command displays active processes?;ps;mount;find;tar;A;Technology;Easy;
Q0046;Which command searches for text patterns in files?;grep;awk;sed;sort;A;Technology;Easy;
Q0047;Which language is primarily used for Android development today?;Swift;Kotlin;Ruby;PHP;B;Technology;Easy;
Q0048;Who created the C programming language?;Bjarne Stroustrup;Dennis Ritchie;James Gosling;Guido van Rossum;B;Technology;Easy;
Q0049;What symbol is commonly used to denote comments in Python?;//;#;<!--;-->;B;Technology;Easy;
Q0050;Which data structure operates on a FIFO principle?;Stack;Queue;Tree;Graph;B;TV Series;Easy;
Q0051;What does IDE stand for?;Integrated Development Environment;Internal Development Engine;Interactive Debug Environment;Integrated Deployment Engine;A;General Knowledge;Easy;
Q0052;Which keyword creates a class in Java?;struct;class;object;type;B;Technology;Easy;
Q0053;What is the time complexity of binary search?;O(n);O(log n);O(n²);O(1);B;General Knowledge;Medium;
Q0054;Which design pattern ensures only one instance exists?;Factory;Observer;Singleton;Adapter;C;TV Series;Easy;
Q0055;What does recursion mean?;Loop optimization;A function calling itself;Memory allocation;Parallel execution;B;General Knowledge;Easy;
Q0056;Which language introduced the concept of ownership used by Rust?;C++;Rust originated it;Pascal;Java;B;Technology;Medium;
Q0057;Who played Indiana Jones?;Harrison Ford;Tom Hanks;Sean Connery;Mel Gibson;A;Gaming;Easy;
Q0058;Which movie features a DeLorean time machine?;Blade Runner;Back to the Future;Tron;The Terminator;B;General Knowledge;Easy;
Q0059;What is the name of the alien in E.T.?;Zorg;E.T.;Xenon;Mork;B;General Knowledge;Easy;
Q0060;Who directed The Shining?;Steven Spielberg;Stanley Kubrick;George Lucas;John Carpenter;B;Movies;Easy;
Q0061;"Which movie introduced the quote ""I'll be back""?";Predator;Terminator;Commando;Robocop;B;General Knowledge;Easy;
Q0062;What city is Blade Runner set in?;New York;Los Angeles;Tokyo;London;B;TV Series;Easy;
Q0063;What is the name of the hotel in The Shining?;Overlook Hotel;Stanley Hotel;Elm Street Hotel;The Bates Hotel;A;Movies;Easy;
Q0064;Who composed the score for Indiana Jones?;Hans Zimmer;John Williams;Ennio Morricone;Alan Silvestri;B;Gaming;Easy;
Q0065;What is the model number of the Terminator?;T-600;T-800;T-1000;T-3000;B;TV Series;Easy;
Q0066;"Which movie popularized the phrase ""Live long and prosper""?";Star Wars;Star Trek II;Alien;Blade Runner;B;TV Series;Easy;
Q0067;Who starred as Neo in The Matrix?;Keanu Reeves;Brad Pitt;Tom Cruise;Johnny Depp;A;Movies;Easy;
Q0068;What ship is in Titanic?;Olympic;Enterprise;Titanic II;Poseidon;A;Movies;Easy;
Q0069;Which movie features a dinosaur park?;Jurassic Park;Godzilla;King Kong;The Lost World;A;General Knowledge;Easy;
Q0070;Who directed Pulp Fiction?;Quentin Tarantino;Martin Scorsese;Ridley Scott;David Fincher;A;Movies;Easy;
Q0071;What is the profession of Neo in The Matrix?;Doctor;Programmer;Lawyer;Driver;B;Movies;Easy;
Q0072;Which movie features Agent Smith?;The Matrix;Inception;Minority Report;Equilibrium;A;General Knowledge;Easy;
Q0073;What year was Fight Club released?;1997;1998;1999;2000;C;Movies;Easy;
Q0074;Who played Tyler Durden?;Edward Norton;Brad Pitt;Matt Damon;Leonardo DiCaprio;B;TV Series;Easy;
Q0075;What is the name of the hotel in The Shining remake?;Overlook Hotel;Stanley Hotel;Bates Motel;Elm Hotel;A;Movies;Easy;
Q0076;Which director is known for Fight Club and Se7en?;David Fincher;Christopher Nolan;James Cameron;Tim Burton;A;Movies;Easy;
Q0077;Who played Jack Sparrow?;Johnny Depp;Orlando Bloom;Brad Pitt;Matt Damon;A;Movies;Easy;
Q0078;Which movie features Frodo Baggins?;Harry Potter;The Hobbit;The Lord of the Rings;Chronicles of Narnia;C;Movies;Easy;
Q0079;What is the name of the green ogre?;Shrek;Donkey;Fiona;Farquaad;A;General Knowledge;Easy;
Q0080;Who directed Inception?;Christopher Nolan;Steven Spielberg;James Cameron;Peter Jackson;A;Movies;Easy;
Q0081;What is the main concept of Inception?;Dream infiltration;Time travel;Space war;AI uprising;A;Movies;Easy;
Q0082;Which movie features Tony Stark becoming Iron Man?;Iron Man;Avengers;Spider-Man;Hulk;A;General Knowledge;Easy;
Q0083;What year was The Dark Knight released?;2006;2007;2008;2009;C;Movies;Easy;
Q0084;Who played the Joker in The Dark Knight?;Jared Leto;Heath Ledger;Jack Nicholson;Mark Hamill;B;TV Series;Easy;
Q0085;Which film won Best Picture in 2003?;The Pianist;Chicago;The Lord of the Rings: Return of the King;Gangs of New York;C;General Knowledge;Easy;
Q0086;Who directed Gladiator?;Ridley Scott;Steven Spielberg;James Cameron;Peter Jackson;A;Movies;Easy;
Q0087;Which company created Pac-Man?;Atari;Nintendo;Namco;Sega;C;Gaming;Easy;
Q0088;What color is Pac-Man?;Red;Blue;Yellow;Green;C;Gaming;Easy;
Q0089;What eats Pac-Man in the game?;Ghosts;Aliens;Robots;Monsters;A;Gaming;Easy;
Q0090;Which game features Mario originally?;Donkey Kong;Zelda;Metroid;Pac-Land;A;Gaming;Easy;
Q0091;What is the main goal in Tetris?;Build cities;Match blocks;Survive waves;Collect coins;B;Gaming;Easy;
Q0092;Which company made the Atari 2600?;Sega;Nintendo;Atari;Sony;C;Gaming;Easy;
Q0093;What year was the NES released in North America?;1983;1985;1987;1989;B;TV Series;Easy;
Q0094;What is the final boss in Contra?;Red Falcon;Alien King;Skynet;Dark Core;A;Gaming;Easy;
Q0095;Which game introduced the Konami Code?;Gradius;Contra;Castlevania;Metal Gear;A;General Knowledge;Easy;
Q0096;What was Sonic's original name concept?;Fast Fox;Mister Needlemouse;Blue Blur;Turbo Hedgehog;B;Gaming;Easy;
Q0097;Which console features cartridge games?;PlayStation 5;Nintendo Switch;NES;PS4;C;Gaming;Easy;
Q0098;Which company made the Sega Genesis?;Sony;Sega;Nintendo;Microsoft;B;Gaming;Easy;
Q0099;What color is the original Nintendo Game Boy?;Black;Gray;Green;Blue;B;Gaming;Easy;
Q0100;Which console introduced CD-ROM gaming first?;PS1;Atari Jaguar;Sega CD;Nintendo 64;C;Gaming;Easy;
Q0101;What is the successor of SNES?;Nintendo 64;GameCube;Wii;Switch;A;Gaming;Easy;
Q0102;Which console had the Red Ring of Death issue?;PS3;Xbox 360;Wii;GameCube;B;Gaming;Easy;
Q0103;What CPU was used in the Sega Dreamcast?;PowerVR;SH-4;Intel Pentium;MIPS;B;Gaming;Easy;
Q0104;Which console first supported online play widely?;PS2;Xbox;GameCube;Dreamcast;D;Gaming;Easy;
Q0105;What was the codename for the Nintendo Wii?;Revolution;Project NX;Ultra;Ocean;A;Gaming;Medium;
Q0106;Which console used cartridges and CDs together?;3DO;Neo Geo CD;TurboGrafx-16;Sega Saturn;B;TV Series;Easy;
Q0107;What is the name of Han Solo's ship?;Enterprise;Millennium Falcon;Serenity;Galactica;B;Star Wars;Easy;
Q0108;Who is Luke Skywalker's father?;Obi-Wan Kenobi;Darth Vader;Han Solo;Emperor Palpatine;B;Star Wars;Easy;
Q0109;What color is Yoda?;Blue;Green;Red;Yellow;B;Star Wars;Easy;
Q0110;What is the name of Darth Vader's original identity?;Ben Kenobi;Anakin Skywalker;Qui-Gon Jinn;Mace Windu;B;Star Wars;Easy;
Q0111;What weapon do Jedi use?;Blasters;LightSaber;Photon gun;Plasma rifle;B;Star Wars;Easy;
Q0112;What planet is Luke raised on?;Naboo;Tatooine;Hoth;Endor;B;Star Wars;Easy;
Q0113;Who built C-3PO?;Luke Skywalker;Anakin Skywalker;Obi-Wan Kenobi;Leia Organa;B;Star Wars;Easy;
Q0114;What is the name of the Sith rule limiting them to two?;Rule of Two;Dark Rule;Sith Code;Shadow Law;A;Star Wars;Easy;
Q0115;Which bounty hunter captured Han Solo?;Boba Fett;Dengar;IG-88;Cad Bane;A;Star Wars;Easy;
Q0116;What is the home planet of Chewbacca?;Endor;Kashyyyk;Tatooine;Naboo;B;Star Wars;Easy;
Q0117;What car did Knight Rider feature?;KITT;DeLorean;General Lee;Herbie;A;TV Series;Easy;
Q0118;What is ALF's species?;Alien Life Form;Cat person;Robot;Human hybrid;A;TV Series;Easy;
Q0119;What show features a team called A-Team?;Miami Vice;The A-Team;Magnum PI;Baywatch;B;General Knowledge;Easy;
Q0120;Who played MacGyver?;Richard Dean Anderson;David Hasselhoff;Tom Selleck;Patrick Duffy;A;TV Series;Easy;
Q0121;What does MacGyver often use to solve problems?;Explosives;Gum and tape;Paper clips and ingenuity;Computers only;C;TV Series;Easy;
Q0122;What city is Miami Vice set in?;Los Angeles;Miami;New York;Chicago;B;TV Series;Easy;
Q0123;What was Magnum PI's first name?;Thomas;James;Richard;Michael;A;TV Series;Easy;
Q0124;What is KITT's AI personality based on?;Human brain;Military AI;Voice synthesizer;Alien tech;B;TV Series;Easy;
Q0125;What car model is KITT based on?;Pontiac Firebird;Corvette;Camaro;Mustang;A;TV Series;Easy;
Q0126;Which actor starred in Airwolf?;Jan-Michael Vincent;Chuck Norris;Steven Seagal;David Hasselhoff;A;General Knowledge;Easy;
Q0127;What city is Friends set in?;Los Angeles;New York;Chicago;Seattle;B;TV Series;Easy;
Q0128;What is the coffee shop in Friends called?;Central Perk;Coffee House;Java Central;Brew Lab;A;TV Series;Easy;
Q0129;Who is the doctor in ER?;Dr. Ross;Dr. Green;Dr. House;Dr. Cox;A;TV Series;Easy;
Q0130;What show features Agent Mulder?;The X-Files;Fringe;Alias;Lost;A;TV Series;Easy;
Q0131;What is Mulder searching for?;Aliens;Lost treasure;Serial killers;Time travel;A;TV Series;Easy;
Q0132;What show features a character named Buffy?;Buffy the Vampire Slayer;Angel;Charmed;Supernatural;A;TV Series;Easy;
Q0133;What is Ross's job in Friends?;Chef;Teacher;Palentologist;Doctor;C;TV Series;Easy;
Q0134;Who played Chandler Bing?;Matt LeBlanc;Matthew Perry;David Schwimmer;James Corden;B;TV Series;Easy;
Q0135;What apartment number do Monica and Rachel live in?;12;19;24;32;C;TV Series;Easy;
Q0136;What is the name of the bar in Cheers? (also referenced in pop culture crossover);Cheers Bar;Central Perk;MacLaren's Pub;The Drunken Clam;A;TV Series;Easy;
